NotesID|OrderID|Note_Date|Note_Time|Details|Role
277|172|2/9/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
278|172|2/9/2005|12/31/1899|"Account Info = """", Price = """""|admin
279|172|2/9/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
280|172|2/9/2005|12/31/1899|NOTE: Space Dynamics Lab|admin
281|172|2/9/2005|12/31/1899|NOTE: shipped on 2/9/05.  Ref. s/o# 62471|admin
282|172|2/9/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
283|130|2/9/2005|12/31/1899|"Status Changed To: ""Rejected-No Response"""|admin
284|130|2/9/2005|12/31/1899|NOTE: email address is incorrect and unable to phone customer for more info.|admin
297|158|2/11/2005|12/31/1899|NOTE: Send only component parts per note - fan has already been sent|admin
298|158|2/11/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
299|177|2/11/2005|12/31/1899|"Status Changed To: ""Rejected-No Fit"""|admin
300|129|2/11/2005|12/31/1899|"Status Changed To: ""Rejected-No Fit"""|admin
301|193|2/11/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
302|193|2/11/2005|12/31/1899|"Account Info = """", Price = """""|admin
303|193|2/11/2005|12/31/1899|"Authorization Changed to ""Yes"""|Lori
304|193|2/11/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
305|192|2/11/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
306|192|2/11/2005|12/31/1899|"Account Info = """", Price = """""|admin
307|192|2/11/2005|12/31/1899|"Authorization Changed to ""Yes"""|Lori
308|194|2/11/2005|12/31/1899|NOTE: Hey dude|admin
309|194|2/11/2005|12/31/1899|NOTE: Dude 2|admin
310|194|2/11/2005|12/31/1899|NOTE: Dude 2|admin
311|194|2/11/2005|12/31/1899|NOTE: Dude 2|admin
312|168|2/14/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
313|168|2/14/2005|12/31/1899|NOTE: This is for a senior project - sent her an email to contact disti|admin
182|63|1/27/2005|12/31/1899|"Status Changed To: ""Ship Completed"""|admin
183|63|1/27/2005|12/31/1899|"Status Changed To: ""Ship Completed"""|admin
184|3|1/27/2005|12/31/1899|"Status Changed To: ""Sales Contact"""|admin
185|3|1/27/2005|12/31/1899|NOTE: per Peter - lvm asking him to em info.|admin
186|15|1/27/2005|12/31/1899|"Status Changed To: ""Ship Completed"""|admin
187|14|1/27/2005|12/31/1899|"Status Changed To: ""Ship Completed"""|admin
188|7|1/27/2005|12/31/1899|"Status Changed To: ""Ship Completed"""|admin
189|16|1/27/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
190|13|1/27/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
191|13|1/27/2005|12/31/1899|NOTE: 12/28 - waiting to hear back from customer|admin
192|12|1/27/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
193|12|1/27/2005|12/31/1899|NOTE: 12/28 - waiting to hear back from customer|admin
194|128|1/27/2005|12/31/1899|"Status Changed To: ""Ship Completed"""|admin
267|157|2/7/2005|12/31/1899|NOTE: shipped 2/7/05.  Ref. s/o# 62448|admin
268|157|2/7/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
285|100|2/10/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
286|88|2/10/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
287|88|2/10/2005|12/31/1899|NOTE: 2/9 - original contact w/ Jody - will f/u again to see if they still want sample|admin
288|101|2/10/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
289|101|2/10/2005|12/31/1899|NOTE: 2/9 - orig. contact w/ Jody - will f/u again to see if they still want sample|admin
290|125|2/10/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
291|125|2/10/2005|12/31/1899|NOTE: shipped 8/3 - this is a student - School of Mines - referred to disti for future purchases|admin
292|35|2/10/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
293|35|2/10/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
294|35|2/10/2005|12/31/1899|NOTE: sample shipped 9/28/04|admin
295|43|2/10/2005|12/31/1899|"Status Changed To: ""Rejected-No Response"""|admin
296|43|2/10/2005|12/31/1899|NOTE: no response to phone/emails|admin
316|193|2/14/2005|12/31/1899|NOTE: Shipped 2/14/05.  S/O# 62496|admin
317|193|2/14/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
318|192|2/14/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
319|192|2/14/2005|12/31/1899|NOTE: Shipped 2/14/05.  S/O# 62496|admin
320|158|2/14/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
322|177|2/15/2005|12/31/1899|"Status Changed To: ""Rejected-No Response"""|admin
323|177|2/15/2005|12/31/1899|"Status Changed To: ""Rejected-No Fit"""|admin
324|177|2/15/2005|12/31/1899|"Status Changed To: ""Sales Contact - Pending"""|admin
325|177|2/15/2005|12/31/1899|"Status Changed To: ""Rejected-No Fit"""|admin
326|73|2/16/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
327|73|2/16/2005|12/31/1899|NOTE: sample shipped 10/28/04 |admin
328|51|2/16/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
329|51|2/16/2005|12/31/1899|"Account Info = """", Price = """""|admin
330|195|2/17/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
331|195|2/17/2005|12/31/1899|NOTE: emailed SFC LCD 2005 2/17/05|admin
332|196|2/17/2005|12/31/1899|NOTE: emailed LCD SFC 2005 on 2/17/05|admin
333|196|2/17/2005|12/31/1899|NOTE: emailed LCD SFC 2005 on 2/17/05|admin
334|196|2/17/2005|12/31/1899|NOTE: emailed LCD SFC 2005 on 2/17/05|admin
335|196|2/17/2005|12/31/1899|NOTE: emailed LCD SFC 2005 on 2/17/05|admin
336|197|2/17/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
337|197|2/17/2005|12/31/1899|NOTE: emailed LCD SFC 2005 on 2/17/05|admin
338|196|2/17/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
339|196|2/17/2005|12/31/1899|NOTE: emailed LCD SFC 2005 on 2/17/05|admin
340|196|2/17/2005|12/31/1899|NOTE: emailed LCD SFC 2005 on 2/17/05|admin
341|198|2/17/2005|12/31/1899|NOTE: emailed LCD SFC 2005 on 2/17/05|admin
342|198|2/17/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
343|198|2/17/2005|12/31/1899|NOTE: emailed LCD SFC 2005 on 2/17/05|admin
344|199|2/17/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
345|199|2/17/2005|12/31/1899|NOTE: emailed LCD SFC 2005 on 2/17/05|admin
346|200|2/17/2005|12/31/1899|NOTE: emailed LCD SFC 2005 on 2/17/05|admin
347|200|2/17/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
348|200|2/17/2005|12/31/1899|NOTE: emailed LCD SFC 2005 on 2/17/05|admin
349|201|2/17/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
195|158|1/28/2005|12/31/1899|"Account Info = ""Nathan Ritter"", Price = """""|admin
196|158|1/28/2005|12/31/1899|"Authorization Changed to ""Yes"""|Lori
197|158|1/28/2005|12/31/1899|"Account Info = ""Nathan Ritter"", Price = """""|admin
198|158|1/28/2005|12/31/1899|NOTE: Include the 120FGM, 5505 cord, 120FP-45|admin
199|131|1/28/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
200|158|1/28/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
201|161|1/28/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
202|160|1/28/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
203|159|1/28/2005|12/31/1899|NOTE: Small volumn - sent email and no response|admin
204|159|1/28/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
205|157|1/28/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
206|157|1/28/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
207|156|1/28/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
208|145|1/28/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
209|144|1/28/2005|12/31/1899|"Account Info = """", Price = """""|admin
210|144|1/28/2005|12/31/1899|"Account Info = """", Price = """""|admin
211|144|1/28/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
212|144|1/28/2005|12/31/1899|NOTE: send the -EU version...thank you.|admin
213|143|1/28/2005|12/31/1899|NOTE: please send the -DU - please send 2 pcs. also|admin
214|143|1/28/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
215|143|1/28/2005|12/31/1899|NOTE: change quantity to 5 pcs. - past customer|admin
216|143|1/28/2005|12/31/1899|"Account Info = ""Ron Court"", Price = """""|admin
217|142|1/28/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
218|132|1/28/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
219|133|1/28/2005|12/31/1899|"Status Changed To: ""Rejected-No Fit"""|admin
220|133|1/28/2005|12/31/1899|NOTE: He mistakenly ordered sample - ours is too large for app.|admin
221|134|1/28/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
222|133|1/28/2005|12/31/1899|"Authorization Changed to ""No"""|admin
223|136|1/28/2005|12/31/1899|"Status Changed To: ""Pending Qual"""|admin
224|144|1/28/2005|12/31/1899|"Authorization Changed to ""Yes"""|
260|163|2/7/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
261|164|2/7/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
262|170|2/7/2005|12/31/1899|"Status Changed To: ""Rejected-No Response"""|admin
263|169|2/7/2005|12/31/1899|"Account Info = ""Steve Cusick"", Price = ""owner"""|admin
264|169|2/7/2005|12/31/1899|"Account Info = ""Steve Cusick"", Price = ""owner"""|admin
265|169|2/7/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
266|169|2/7/2005|12/31/1899|NOTE: Customer needs to talk w/ Engineer (Bill or Ghan) before we send out samples for tech. assistance|admin
350|201|2/17/2005|12/31/1899|NOTE: emailed LCD SFC 2005 on 2/17/05|admin
352|61|2/18/2005|12/31/1899|"Status Changed To: ""Rejected-No Fit"""|admin
353|51|2/18/2005|12/31/1899|"Status Changed To: ""Rejected-No Fit"""|admin
354|51|2/18/2005|12/31/1899|NOTE: Customer went w/ backlight version|admin
355|61|2/18/2005|12/31/1899|NOTE: customer went w/ backlight version|admin
356|99|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
357|53|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
358|71|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
359|71|2/20/2005|12/31/1899|NOTE: shipped the 720HW per Jody|admin
360|78|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
361|22|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
362|22|2/20/2005|12/31/1899|NOTE: please include short form catalog w/ shipment|admin
363|21|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
364|21|2/20/2005|12/31/1899|NOTE: shipped via UPS Surface 9/29/04|admin
365|26|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
366|26|2/20/2005|12/31/1899|NOTE: shipped via UPS Surface 9/29/04|admin
367|80|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
368|80|2/20/2005|12/31/1899|NOTE: shipped via UPS expedited 9/29/04|admin
369|140|2/20/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
370|140|2/20/2005|12/31/1899|NOTE: low volumn - referred to disti 10/20/04|admin
371|63|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
372|63|2/20/2005|12/31/1899|NOTE: shipped 11/8/04 - jc|admin
373|120|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
374|120|2/20/2005|12/31/1899|NOTE: shipped 9/8/04|admin
375|60|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
237|157|1/31/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
238|157|1/31/2005|12/31/1899|"Account Info = ""Christina Goodness"", Price = ""Masters' Candidate"""|admin
239|157|1/31/2005|12/31/1899|"Authorization Changed to ""Yes"""|lori
240|157|1/31/2005|12/31/1899|NOTE: This is for a senior design project - but it is paid so we'll send it...|admin
241|162|2/1/2005|12/31/1899|"Authorization Changed to ""No"""|Sam
254|160|2/3/2005|12/31/1899|NOTE: shipped 2/2/05.  S/O# 62449|admin
255|160|2/3/2005|12/31/1899|"Status Changed To: ""Ship Completed"""|admin
256|160|2/3/2005|12/31/1899|"Status Changed To: ""Ship Completed"""|admin
257|157|2/3/2005|12/31/1899|NOTE: out of stock - expect new shipment on the week of 2/7/05|admin
258|168|2/7/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
259|167|2/7/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
321|158|2/14/2005|12/31/1899|NOTE: Accessories shipped 2/14/05.  Tracking# 1Z9505270343550148|admin
351|67|2/18/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
376|60|2/20/2005|12/31/1899|"Account Info = """", Price = """""|admin
377|104|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
378|104|2/20/2005|12/31/1899|"Account Info = """", Price = """""|admin
379|85|2/20/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
380|85|2/20/2005|12/31/1899|NOTE: sent email 11/22/04 - no reply|admin
381|98|2/20/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
382|98|2/20/2005|12/31/1899|NOTE: sent email 11/12 - no reply |admin
383|94|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
384|94|2/20/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
385|94|2/20/2005|12/31/1899|NOTE: low volumn - this is a store|admin
386|143|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
387|143|2/20/2005|12/31/1899|"Account Info = ""Ron Court"", Price = """""|admin
388|111|2/20/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
389|111|2/20/2005|12/31/1899|NOTE: replacement part only - referred to disti|admin
390|138|2/20/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
391|138|2/20/2005|12/31/1899|NOTE: waiting to hear back from customer|admin
392|86|2/20/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
393|89|2/20/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
394|141|2/20/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
395|141|2/20/2005|12/31/1899|NOTE: referred to disti 10/12/04 - LD|admin
396|144|2/20/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
397|144|2/20/2005|12/31/1899|NOTE: waiting to hear back from customer|admin
398|33|2/20/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
399|30|2/20/2005|12/31/1899|"Status Changed To: ""Rejected-No Response"""|admin
400|30|2/20/2005|12/31/1899|NOTE: never heard back from customer|admin
401|64|2/20/2005|12/31/1899|"Status Changed To: ""Rejected-No Response"""|admin
402|64|2/20/2005|12/31/1899|NOTE: never heard back from customer for more info.|admin
403|88|2/20/2005|12/31/1899|NOTE: Jody working on this lead|admin
404|101|2/20/2005|12/31/1899|NOTE: Jody working on this lead|admin
405|116|2/20/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
406|116|2/20/2005|12/31/1899|"Account Info = """", Price = """""|admin
407|115|2/20/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
408|115|2/20/2005|12/31/1899|NOTE: small volumn - referred to disti|admin
409|115|2/20/2005|12/31/1899|"Account Info = """", Price = """""|admin
410|28|2/20/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
411|28|2/20/2005|12/31/1899|NOTE: waiting to hear back from customer|admin
412|17|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
413|17|2/20/2005|12/31/1899|NOTE: please include data sheet w/ shipment|admin
414|29|2/20/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
415|145|2/20/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
416|145|2/20/2005|12/31/1899|NOTE: student - referred to disti|admin
417|124|2/20/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
418|124|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
419|124|2/20/2005|12/31/1899|NOTE: UPS tracking #1Z9505270343181609|admin
420|66|2/20/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
421|66|2/20/2005|12/31/1899|"Account Info = """", Price = """""|admin
422|83|2/20/2005|12/31/1899|"Status Changed To: ""Qualified Lead"""|admin
423|83|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
424|92|2/20/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
314|167|2/14/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
315|167|2/14/2005|12/31/1899|NOTE: For senior project - sent email to contact disti|admin
425|92|2/20/2005|12/31/1899|NOTE: waiting for call back from customer|admin
426|117|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
427|105|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
428|105|2/20/2005|12/31/1899|NOTE: sent -EU version|admin
429|119|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
430|123|2/20/2005|12/31/1899|"Status Changed To: ""Rejected-No Fit"""|admin
431|123|2/20/2005|12/31/1899|"Status Changed To: ""Rejected-No Fit"""|admin
432|32|2/20/2005|12/31/1899|"Status Changed To: ""Lost Deal"""|admin
433|32|2/20/2005|12/31/1899|NOTE: customer went w/ comp because Allied quote....|admin
434|47|2/20/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
435|47|2/20/2005|12/31/1899|NOTE: this is a student - referred to disti|admin
436|82|2/20/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
437|82|2/20/2005|12/31/1899|NOTE: waiting for call back from customer - 10/12/04|admin
438|96|2/20/2005|12/31/1899|"Status Changed To: ""Rejected-No Fit"""|admin
439|96|2/20/2005|12/31/1899|NOTE: customer went w/ kit instead|admin
440|118|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
441|5|2/20/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
442|5|2/20/2005|12/31/1899|NOTE: student - referred to disti|admin
443|46|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
444|46|2/20/2005|12/31/1899|NOTE: include w/ shipment - 1 pc. ANDS4E38XX-15 per Jody|admin
445|52|2/20/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
446|52|2/20/2005|12/31/1899|NOTE: part has been discontinued - waiting to hear back from customer|admin
447|52|2/20/2005|12/31/1899|"Status Changed To: ""Rejected-No Fit"""|admin
448|58|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
449|58|2/20/2005|12/31/1899|NOTE: shipped 11/8/04 - AND-TFT-64PA-KIT|admin
450|39|2/20/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
451|39|2/20/2005|12/31/1899|NOTE: no shipping record - did this really ship??|admin
452|10|2/20/2005|12/31/1899|"Status Changed To: ""Rejected-No Response"""|admin
453|10|2/20/2005|12/31/1899|NOTE: rejected - credit card denied and no response for new number|admin
454|112|2/20/2005|12/31/1899|"Status Changed To: ""Lost Deal"""|admin
455|112|2/20/2005|12/31/1899|NOTE: customer went w/ another part that fit their app better|admin
456|202|2/22/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
457|202|2/22/2005|12/31/1899|"Account Info = ""engineering"", Price = ""engineering"""|admin
550|38|2/24/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
551|38|2/24/2005|12/31/1899|"Account Info = """", Price = """""|admin
552|40|2/24/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
553|40|2/24/2005|12/31/1899|NOTE: waiting to hear back from customer|admin
554|56|2/24/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
555|108|2/24/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
556|108|2/24/2005|12/31/1899|NOTE: replacement unit - referred to disti|admin
557|77|2/24/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
558|77|2/24/2005|12/31/1899|"Account Info = """", Price = """""|admin
559|93|2/24/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
560|93|2/24/2005|12/31/1899|NOTE: low volumn - referred to disti|admin
561|74|2/24/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
562|74|2/24/2005|12/31/1899|NOTE: qualified (LD)|admin
563|20|2/24/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
564|20|2/24/2005|12/31/1899|NOTE: student - referred to disti|admin
565|11|2/24/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
566|11|2/24/2005|12/31/1899|NOTE: waiting to hear back from customer|admin
567|55|2/24/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
568|55|2/24/2005|12/31/1899|NOTE: waiting to hear back from customer|admin
569|72|2/24/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
570|72|2/24/2005|12/31/1899|NOTE: sent email for more info.|admin
571|54|2/24/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
572|54|2/24/2005|12/31/1899|NOTE: sent email for more info.|admin
573|84|2/24/2005|12/31/1899|"Status Changed To: ""Rejected-No Fit"""|admin
574|84|2/24/2005|12/31/1899|NOTE: lighting project - no potential for Purdy|admin
575|134|2/24/2005|12/31/1899|NOTE: waiting to hear back from customer|admin
458|203|2/23/2005|12/31/1899|"Status Changed To: ""Refer to Disti"""|admin
459|202|2/23/2005|12/31/1899|"Status Changed To: ""Rejected-No Response"""|admin
460|202|2/23/2005|12/31/1899|"Status Changed To: ""Pending Qualification"""|admin
618|213|2/24/2005|12/31/1899|"Status Changed To: ""New"""|admin
619|213|2/24/2005|12/31/1899|"Status Changed To: ""Rejected-No Response"""|admin
620|39|2/25/2005|12/31/1899|"Status Changed To: ""Lost Deal"""|admin
621|39|2/25/2005|12/31/1899|NOTE: sample never did ship according to customer and our record - lost to competition|admin
622|97|2/25/2005|12/31/1899|"Status Changed To: ""Lost Deal"""|admin
623|97|2/25/2005|12/31/1899|NOTE: went w/ another vendor but will check back with us in future|admin
624|97|2/25/2005|12/31/1899|"Account Info = """", Price = """""|admin
647|116|3/1/2005|12/31/1899|NOTE: Per Lori, status should have been changed to complete.|admin
648|116|3/1/2005|12/31/1899|NOTE: see s/o# 62230 - shipped 11/18/04|admin
649|116|3/1/2005|12/31/1899|"Authorization Changed to ""Yes"""|admin
650|116|3/1/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
651|29|3/1/2005|12/31/1899|NOTE: order shipped 8/23/04.  Status should be order shipped.|admin
652|29|3/1/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
653|100|3/1/2005|12/31/1899|NOTE: status should be backordered.  Emailed Jody requesting|admin
654|100|3/1/2005|12/31/1899|NOTE: for sample from factory.  Emails sent on 1/5, 1/20, 2/7 & 3/1/05|admin
655|100|3/1/2005|12/31/1899|"Status Changed To: ""Sample Back Ordered"""|admin
656|66|3/1/2005|12/31/1899|"NOTE: Status should be ""shipped complete"".  "|admin
657|66|3/1/2005|12/31/1899|NOTE: Order shipped on 8/26/04|admin
658|66|3/1/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
659|86|3/1/2005|12/31/1899|"NOTE: Status should be ""sample shipped""."|admin
660|86|3/1/2005|12/31/1899|NOTE: Sample order shipped on 9/29/04.|admin
661|86|3/1/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
662|89|3/1/2005|12/31/1899|"NOTE: Status should be ""sample shipped"""|admin
663|89|3/1/2005|12/31/1899|NOTE: Sample order shipped on 10/8/04.|admin
664|89|3/1/2005|12/31/1899|"Status Changed To: ""Sample Shipped"""|admin
665|92|3/1/2005|12/31/1899|"NOTE: Per Lori, status should be ""rejected""."|admin
666|92|3/1/2005|12/31/1899|"NOTE: Correction - should be ""refer to disti"""|admin
