Product_ID|Product_Name|Product_line|Type|News|Lcd|Lines|Character_Size|Viewing|Outline|Driving|Backlight|Built|Product_Price|Product_SH|PDF|Sort
28|AND671WGST-LED|AND Displays||Y|STN Positive|1 x 16|3.07 x 6.56|85.0 x 16.0|80.0 x 36.0 x 8.8|3.3|White LED|ST7066U|||AND671WGST-LED.pdf|12
39|AND000802A-OLED|AND Displays|OLED|Y||2x8||38.0 x 16.0|58.0 x 32.0 x 10|5V, option 3V|OLED|WS0010||||35
40|AND001601A-OLED|AND Displays|OLED|Y||1 x 16||66.0 x 16.0|80.0 x 36.0 x 10.0|5V, option 3V|OLED|WS0010||||36
41|AND001602B-OLED|AND Displays|OLED|Y||2 x 16||99.0 x 24.0|122.0 x 44.0 x 10.0|5V, option 3V|OLED|WS0010||||37
42|AND001602D-OLED|AND Displays|OLED|Y||2 x 16||66.0 x 16.0|85.0 x 30.0 x 10|5V, option 3V|OLED|WS0010||||38
43|AND001602A-OLED|AND Displays|OLED|Y||2 x 16||66.0 x 16.0|80.0 x 36.0 x 10.0|5V, option 3V|OLED|WS0010||||39
44|AND002002A-OLED|AND Displays|OLED|Y||2 x 20||85.0 x 18.6|116.0 x 37.0 x 9.8|5V, option 3V|OLED|WS0010||||40
45|AND002004A-OLED|AND Displays|OLED|Y||4 x 20||77.0 x 25.2|98.0 x 60.0 x 10.0|5V, option 3V|OLED|WS0010||||41
46|AND004002A-OLED|AND Displays|OLED|Y||2 x 40||154.4 x 16.5|182.0 x 33.5 x 9.3|5V, option 3V|OLED|WS0010||||42
47|AND082GST-LED|AND Displays|STN, FSTN, BST|Y|STN Super Twist|2 x 8|2.96 x 5.56|38.0 x 16.0|58 x 32 x 8.4|5|LED|KS0066|0|0|AND082GST-LED.pdf|8
