1|Allied Electronics|1155 Lola Street, Unit 6|Ottawa|Ontario|CANADA|K1K4C1||(613) 228-1964||(613) 228-8006|||||N|N|N|N|N
21|Allied Electronics<br>#74 EL PASO|9434 VISCOUNT BLVD., SUITE 207|El Paso,|TX|USA|79925|5633|(915) 593-6291||(915) 590-3233|||||Y|Y|Y|Y|N
22|Allied Electronics<br>#05 FORT WORTH SALES|7410 Pebble Drive|Fort Worth,|TX|USA|76118||(817) 595-3500||(817) 595-6444|W: www.alliedelec.com||||Y|Y|Y|Y|
23|Allied Electronics<br>#60 HOUSTON|9810 FM 1960 Bypass, Ste 210|Humble,|TX|USA|77338|3501|(281) 446-8005||(281) 446-6782||www.alliedelec.com|||Y|Y|Y|Y|N
24|Allied Electronics #605|7 Santa Anita Circle|Wylie,|TX|USA|75098||972-442-1053||972-442-3055|E: ron.davis@alliedelec.com||||Y|Y|Y|Y|
25|Allied Electronics #605|7410 Pebble Drive|Fort Worth,|TX|USA|76118||817-917-5930||817-595-6404|E: don.norwich@alliedelec.com||||Y|Y|Y|Y|
26|Allied Electronics #605|9550 Forest Lane - Suite 511|Dallas,|TX|USA|75243|8394|214-755-6114||214-341-6622|E: steve.falcone@alliedelec.com||||Y|Y|Y|Y|
27|Fuses Unlimited|3302 West Miller Road|Garland,|TX|USA|75041||(972) 907-8600||(972) 669-9626|E: dallas@fusesunlimited.com||||||Y||
28|Powell Electronics<br>Lower Midwest Region & Mexico|4500 Fuller Dr., Suite 130|Irving,|TX|USA|75038||(972)-719-5404||(972)-719-5405|E: dlindop@powell.com|www.powell.com|Dana Lindop|Branch Manager|Y|Y|Y|Y|N
29|Newark InOne|3737 Executive Center Dr. Suite 105|Austin,|TX|USA|78731|1632|(800) 2-NEWARK (800-263-9275)|(512) 338-0287|(512) 345-2702|E: austin@newarkinone.com||||Y|Y|||
30|Newark InOne|12880 Hillcrest Rd. Suite 115|Dallas,|TX|USA|75230|1501|(800) 2-NEWARK (800-263-9275)|(972) 458-2528|(972) 458-2530|E: dallas@newarkinone.com||||Y|Y|||
31|Allied Electronics #605 Austin|3429 Executive Center Dr. - Suite 250|Austin,|TX|USA|78731||512-219-7171||512-219-7701|E: shane.niles@alliedelec.com||||Y|Y|Y|Y|
32|Newark InOne|1400 Commerce Center Dr. Suite E|Franklin,|OH|USA|45005||(800) 2-NEWARK (800-263-9275)|(937) 743-0800|(937) 743-9380|E: columbus@newarkinone.com||||Y|Y|||
34|Allied Electronics<br>#76 CLEVELAND|5755 Granger Road, Ste 756|Independence,|OH|USA|44131||(216) 335-9969||(216) 335-9979|||||Y|Y|Y|Y|
35|Allied Electronics<br>#71 COLUMBUS|250 E. Wilson Bridge Rd., Suite 270|Worthington,|OH|USA|43085||(614) 785-1270||(614) 785-1277||www.alliedelec.com|||Y|Y|Y|Y|N
36|Newark InOne|6400 Rockside Rd.|Independence,|OH|USA|44131||(800) 2-NEWARK (800-263-9275)|(216) 654-1700|(216) 654-1770|E: cleveland@newarkinone.com||||Y|Y|||
37|Fuses Unlimited|21500 Drake Road|Strongsville,|OH|USA|44149||(440) 238-1330||(440) 238-1245|Email: strongsville@fusesunlimited.com||||||Y||
38|Newark InOne|6443 SW Beaverton Hillsdale Hwy. Suite 330|Portland,|OR|USA|97225|1692|(800) 2-NEWARK (800-263-9275)|(503) 297-1984|(503) 297-1925|E: portland@newarkinone.com||||Y|Y|||
39|Allied Electronics<br>#57 PORTLAND|6700 SW 105th Ave., Ste 106|Beaverton,|OR|USA|97008||(503) 626-9921||F:(503) 627-0404|||||Y|Y|Y|Y|
40|Walker Component Group / IEC|3720 S.W. 141st. Street, Suite 102|Beaverton,|OR|USA|97005||503-641-1690||503-646-3737|E: porsales@wcg-iec.com||||Y|Y|Y||
41|Newark InOne|501 Office Center Dr. Suite 410|Ft. Washington,|PA|USA|19034|3211|(800) 2-NEWARK (800-263-9275)|(215) 654-1434|(215) 654-1460|E: philadelphia@newarkinone.com||||Y|Y|||
42|Newark InOne|100 High Tower Blvd. 1st Floor|Pittsburgh,|PA|USA|15205|1134|(800) 2-NEWARK (800-263-9275)|(412) 788-4790|(412) 788-1566|E: pittsburgh@newarkinone.com||||Y|Y|||
43|Allied Electronics<br>#25 EASTERN PENNSYLVANIA|Chadds Ford W. Marshallton Bldg, Ste 20|Chadds Ford,|PA|USA|19317|9807|(610) 388-8455||(610) 388-8450|||||Y|Y|Y|Y|
44|Allied Electronics<br>#89 HARRISBURG|4711 Queen Ave., Ste 202|Harrisburg,|PA|USA|17109||(717) 540-7101||(717) 540-7130|||||Y|Y|Y|Y|
45|Allied Electronics<br>#88 PITTSBURGH|1500 Ardmore Blvd - Suite 205|Pittsburgh,|PA|USA|15221||(412) 242-8190||(412) 242-8198|||||Y|Y|Y|Y|
46|Powell Electronics<br>Mid Atlantic|4848 South Island Road|Philadelphia,|PA|USA|19153||800-235-7880||215-495-5410|E: powellinfo@worldnet.att.net||||||Y|Y|
47|Powell Electronics|200 Commodore Drive|Logan Township,|NJ|USA|08085||856-241-8000||856-241-8630|E: dbelfonti@powell.com|www.powell.com|Darlene Belfonti|Branch Manager|Y|Y|Y|Y|N
48|Allied Electronics<br>#28 GREENVILLE|300 Executive Center Dr., Ste 250, B197|Greenville,|SC|USA|29615|4505|(864) 288-8835||(864) 288-9559|||||Y|Y|Y|Y|N
49|Newark InOne|9041 Executive Park Dr. Suite 702|Knoxville,|TN|USA|37923|4622|(800) 2-NEWARK (800-263-9275)|(865) 670-1130|(865) 670-9120|E: knoxville@newarkinone.com||||Y|Y|||
50|Newark InOne|7449 Morgan Rd. 1st Floor|Liverpool,|NY|USA|13090|3901|(800) 2-NEWARK (800-263-9275)|(315) 457-4873|(315) 457-6096|E: syracuse@newarkinone.com||||Y|Y|||
51|Allied Electronics<br>#32 SUFFOLK COUNTY AREA|2150 Joshua's Path, Ste 14|Hauppauge,|NY|USA|11788||(631) 234-0485||(631) 234-5175|||||Y|Y|Y|Y|
52|Allied Electronics<br>#63 NY CITY/ WESTERN LONG IS|305 Northern Blvd, Ste 301|Great Neck,|NY|USA|11021||(516) 487-5211||(516) 487-5251|||||Y|Y|Y|Y|
53|Allied Electronics<br>#11 POUGHKEEPSIE|488 Freedom Plains Rd., Ste 132|Poughkeepsie,|NY|USA|12603||(845) 452-1470||(845) 452-1448|||||Y|Y|Y|Y|
54|Allied Electronics<br>#64 ROCHESTER|333 Meyro Park, Ste N107|Rochester,|NY|USA|14623||(585) 292-1670||(585) 292-1681||www.alliedelec.com|||Y|Y|Y|Y|N
55|Allied Electronics<br>#34 SYRACUSE|101 Old Cove Road, Ste 108|Liverpool,|NY|USA|13090||(315) 453-0960||(315) 453-0963|||||Y|Y|Y|Y|
56|Newark InOne|4250 Veterans Memorial Hwy. Suite 301.|Holbrook,|NY|USA|11741||(800) 2-NEWARK (800-263-9275)|(631) 738-6776|(631) 738-6886|E: longisland@newarkinone.com||||Y|Y|||
58|Allied Electronics<br>#85 TULSA|9810 East 42nd St., Ste 130|Tulsa,|OK|USA|74146||(918) 627-9220||(918) 627-9409|||||Y|Y|Y|Y|
59|Newark InOne|197 Highway 18 South Suite 205|East Brunswick,|NJ|USA|08816|1440|(800) 2-NEWARK (800-263-9275)|(732) 937-6600|(732) 937-6667|E: eastbrunswick@newarkinone.com||||Y|Y|||
60|Allied Electronics<br>#33 CENTRAL NEW JERSEY|197 Route 18, Ste 260|E. Brunswick,|NJ|USA|08816||(732) 846-4271||(732) 846-4277|||||Y|Y|Y|Y|
61|Allied Electronics<br>#66 PHILADELPHIA|1 Executive Drive, Unit 1|Moorestown,|NJ|USA|08057||(856) 234-7769||(856) 234-6346|||||Y|Y|Y|Y|N
62|Allied Electronics|249 Fernhead Ave|Monroe Township,|NJ|USA|08831||(732) 723-030||(732) 261-4899|E: james.sullivan@alliedelec.com||||Y|Y|Y|Y|
63|Newark InOne|1701 Pinecroft Rd. Suite 101|Greensboro,|NC|USA|27407|3855|(800) 2-NEWARK (800-263-9275)|(336) 292-7240|(336) 292-9575|E: greensboro@newarkinone.com||||Y|Y|||
64|Allied Electronics<br>#31 CHARLOTTE|9307 Monroe Road, Ste F|Charlotte,|NC|USA|28270||(704) 846-4023||(704) 846-1642|||||Y|Y|Y|Y|
65|Allied Electronics<br>#61 RALEIGH|801 Jones Franklin Rd, Ste 290|Raleigh,|NC|USA|27606||(919) 851-2131||(919) 851-2154|||||Y|Y|Y|Y|
66|Allied Electronics<br>National Account Team|9307 Monroe Rd. Ste. F|Charlotte|NC|USA|28270||(704) 846-4023||(704) 846-1642|E: mike.lausier@alliedelec.com||||Y|Y|Y|Y|
67|Powell Electronics<br>Carolinas Region|110 Adams St|Cary,|NC|USA|27513||919-467-1212||919-467-8078|E: pmoody@powell.com|www.powell.com|Paul Moody|Branch Manager|Y|Y|Y|Y|N
68|Newark InOne|11128 John Galt Blvd. Suite 255|Omaha,|NE|USA|68137|2321|(800) 2-NEWARK (800-263-9275)|(402) 592-2423|(402) 592-0508|E: omaha@newarkinone.com||||Y|Y|||
69|Allied Electronics<br>#17 NASHUA|32 Daniel Webster Highway, Unit 21|Merrimack,|NH|USA|03054||(603) 579-0720||(603) 579-0713|||||Y|Y|Y|Y|N
70|Allied Electronics<br>#22 ALBUQUERQUE|6301 Indian School Rd, NE, Ste 660|Albuquerque,|NM|USA|87110||(505) 872-2770||(505) 872-2766|||||Y|Y|Y|Y|
71|Newark InOne|550 Stephenson Hwy. Suite 200|Troy,|MI|USA|48083|1109|(800) 2-NEWARK (800-263-9275)|(248) 583-2899|(248) 583-1092|E: detroit@newarkinone.com||||Y|Y|||
72|Allied Electronics<br>#70 DETROIT|20270 Middlebelt Rd., Ste 8|Livonia,|MI|USA|48152||248-473-5457||248-473-5853||www.alliedelec.com|||Y|Y|Y|Y|N
73|Allied Electronics<br>#08 GRAND RAPIDS|5035 Plainfield NE, Suite E|Grand Rapids,|MI|USA|49525|1064|(616) 365-9960||(616) 365-9895||www.alliedelec.com|||Y|Y|Y|Y|N
74|Shand Electronics|2401Electronics|Flint,|MI|USA|48507||800-747-7426||810-232-5044|||||Y|Y|Y||
75|Newark InOne|2021 East Hennepin Ave. suite 530|Minneapolis,|MN|USA|55413|2722|(800) 2-NEWARK (800-263-9275)|(612) 331-6350|(612) 331-1504|E: minneapolis@newarkinone.com||||Y|Y|||
76|Allied Electronics<br>#72 MINNEAPOLIS|6120 Earle Brown Drive, Ste 400|Brooklyn Center,|MN|USA|55430||(763) 560-9760||(763) 560-9744|||||Y|Y|Y|Y|
77|Newark InOne|2458 Old Dorsett Rd. Suite 205|Maryland Heights,|MO|USA|63043||(800) 2-NEWARK (800-263-9275)|(314) 291-7722|(314) 291-7733|E: stlouis@newarkinone.com||||Y|Y|||
78|Allied Electronics<br>#84 ST. LOUIS|1016 Rock Creek Elementary Dr.|O'Fallon,|MO|USA|63366||(636) 240-9405||(636) 240-9505|||||Y|Y|Y|Y|N
79|Newark InOne|1919 South Highland Avenue A320|Lombard,|IL|USA|60148|6119|(800) 2-NEWARK (800-263-9275)|(630) 317-1000|(630) 424-8048|E: chicago@newarkinone.com||||Y|Y|||
80|Allied Electronics<br>#10 CENTRAL ILLINOIS|2205 W. Wabash Ave., Ste 203B|Springfield,|IL|USA|62704||(217) 698-8525||(217) 698-8445|||||Y|Y|Y|Y|
165|Allied Electronics<br>#38 SAN JOSE|6830 Via Del Oro Suite 100|San Jose|CA|USA|95119|1391|(408) 226-7008||(408) 226-7010|sjo$manager@alliedelec.com|www.alliedelec.com|||Y|Y|Y|Y|
82|Allied Electronics<br>#15 CHICAGO - WOOD DALE|800 Roosevelt Rd., Bldg. C, Suite 320|Glen Ellyn|IL|USA|60137||(630) 469-4685||(630) 469-6347||www.alliedelec.com|||Y|Y|Y|Y|N
83|Allied Electronics|2022 S. Route 31, Ste G|McHenry,|IL|USA|60050||(815) 759-9155||(815) 759-9154|E: bill.mohlman@alliedelec.com||||Y|Y|Y|Y|
84|GC / Waldom Electronics|4301 West 69th Street|Chicago,|IL|USA|60629||800-892-5366||800-526-4977|||||Y|Y|Y||
85|Newark InOne|4801 North Ravenswood Ave.|CHICAGO,|IL|USA|60640||773-784-5100||773-907-5217|||||Y|Y|||
86|Walker Component Group / IEC|2401 West Hassell Road, Suite 1505|Hoffman Estates,|IL|USA|60195||847-843-2040||847-843-2320|E: chisales@wcg-iec.com||||Y|Y|Y||
87|Powell Electronics<br>Upper Midwest Region|7705 Industrial Drive, Suite C|Spring Grove,|IL|USA|60081||815.675.3244||815.675.9374|E: afiorillo@powell.com|www.powell.com|Albert Fiorillo|VP MidWest Division|Y|Y|Y|Y|N
88|Allied Electronics<br>#48 BOISE|4696 Overland Road, Ste 534|Boise,|ID|USA|83705|2864|(208) 331-1414||(208) 331-1484|||||Y|Y|Y|Y|
89|Allied Electronics<br>#54 CEDAR RAPIDS|1310 Tower Lane NE, Ste A|Cedar Rapids,|IA|USA|52402||(319) 377-7051||(319) 377-7787|||||Y|Y|Y|Y|N
90|Newark InOne|50 E. 91st Street Suite 213|Indianapolis,|IN|USA|46240|1555|(800) 2-NEWARK (800-263-9275)|(317) 844-0047|(317) 844-0165|E: indianapolis@newarkinone.com||||Y|Y|||
91|Allied Electronics<br>#77 INDIANAPOLIS|12400 N. Meridian St., Ste 195|Carmel,|IN|USA|46032||(317) 571-1880||(317) 571-1890|||||Y|Y|Y|Y|
92|Newark InOne|6811 W. 63rd St. Suite 305|Overland Park,|KS|USA|66202|4080|(800) 2-NEWARK (800-263-9275)|(913) 677-0727|(913) 677-2725|E: kansascity@newarkinone.com||||Y|Y|||
93|Allied Electronics<br>#83 KANSAS CITY|10985 Cody, Ste 115|Overland Park,|KS|USA|66210||(913) 338-4372||(913) 338-3559|||||Y|Y|Y|Y|
94|Allied Electronics<br>#68 LOUISVILLE|8134 New LaGrange Rd., Ste 202|Louisville,|KY|USA|40222|4678|(502) 339-0114||(502) 339-0365|||||Y|Y|Y|Y|
95|Newark InOne|7272 Park Circle Dr. Suite 260|Hanover,|MO|USA|21076|1306|(800) 2-NEWARK (800-263-9275)|(410) 712-6922|(410) 712-6932|E: baltimore@newarkinone.com||||Y|Y|||
96|Allied Electronics<br>#09 BALTIMORE/WASHINGTON D.C|7125 Thomas Edison Dr., Ste 101|Columbia,|MD|USA|21046||(410) 312-0810||(410) 312-0818|||||Y|Y|Y|Y|
97|Allied Electronics|510 Pearwood|Bel Air,|MD|USA|21014||(410) 420-8935||(410) 420-8935|E: dan.tress@alliedelec.com||||Y|Y|Y|Y|N
98|Powell Electronics<br>MD, DC, WV, VA Region|6325 Woodside Court Suite 120|Columbia,|MD|USA|21046||410-290-7929||410-290-7925|E: baiello@powell.com||||||Y|Y|
99|Newark InOne|1900 West Park Drive, Suite 210|West Borough|MA|USA|01581||(800) 2-NEWARK (800-263-9275)|(508) 229-2200|(508) 229-2222|E: dpellerin@newark.com||Donna Pellerin|Sales Manager|Y|Y|N|N|N
100|Newark InOne|59 Composite Way Suite 200|Boston,|MA|USA|01851|5150|(800) 2-NEWARK (800-263-9275)|(978) 551-4300|(978) 551-4329|E: boston@newarkinone.com||||Y|Y|||
101|Powell Electronics<br>Northeast Region & Canada|4 Mount Royal, Suit 210|Marlborough,|MA|USA|01752||508-481-7575||508-481-7779|E: dwhite@powell.com||||Y|Y|Y|Y|N
102|Allied Electronics<br>#55 BOSTON AREA|200 Stonewall Blvd., Unit 202B, Mailbox 9|Wrentham,|MA|USA|02093||(508) 384-0400||(508) 384-0459|||||Y|Y|Y|Y|
103|Allied Electronics<br>#18 NORTHERN & WEST MA, ME,|5 Cherry Hill Dr., Ste 210|Danvers,|MA|USA|01923||(978) 646-9120||(978) 646-9130|||||Y|Y|Y|Y|N
104|Allied Electronics<br>#69 DENVER|6 Inverness Court East #135|Englewood,|CO|USA|80112|5610|(303) 790-1664||(303) 790-8938|||||Y|Y|Y|Y|N
105|Hubbard Supply Co.|901 W. Second Street|Flint|MI|USA|48503||810-234-8681|800-875-4811|810-234-6142|www.hubbardsupply.com||||Y|Y|Y||
106|Hubbard Supply Co.|3900 E. Washington|Saginaw|MI|USA|48601||989-753-2453|800-875-4812|989-753-3266|www.hubbardsupply.com||||Y|Y|Y||
107|Hubbard Supply Co.|4560 W. Dickman Road|Battle Creek|MI|USA|49015||269-965-2211|800-632-9606|269-965-3164|www.hubbardsupply.com||||Y|Y|Y||
108|Walker Component Group / IEC|1795 E. 66th Ave.|Denver,|CO|USA|80229||303-292-6121 and 877-274-3442||303-292-0114|densales@wcg-iec.com||||Y|Y|Y||
109|Newark InOne|34 Jerome Avenue Suite 200|Bloomfield,|CT|USA|06002|2463|(800) 2-NEWARK (800-263-9275)|(860) 243-1731|(860) 242-3949|bloomfield@newarkinone.com||||Y|Y|||
110|Allied Electronics<br>#19 CHESHIRE|408-412 Highland Ave., Bldg A, Unit 10|Cheshire,|CT|USA|06410||(203) 272-7730||(203) 272-1412|||||Y|Y|Y|Y|
111|Newark InOne|4725 Paris Street|Denver,|CO|USA|80239|2803|(800) 2-NEWARK (800-263-9275)|(303) 373-4540|(303) 373-0648|denver@newarkinone.com||||Y|Y|||
112|Newark InOne|1080 Woodcock Rd. Suite 111|Orlando,|FL|USA|32803|3514|(800) 2-NEWARK (800-263-9275)|(407) 896-8350|(407) 896-7348|orlando@newarkinone.com||||Y|Y|||
113|Newark InOne|3230 West Commercial Blvd. Suite 300|Ft. Lauderdale,|FL|USA|33309|3400|(800) 2-NEWARK (800-263-9275)|(954) 486-1151|(954) 486-9929|ftlauderdale@newarkinone.com||||Y|Y|||
114|Newark InOne|5601 Mariner St. Suite 104|Tampa,|FL|USA|33609|3416|(800) 2-NEWARK (800-263-9275)|(813) 287-1578|(813) 286-2572|tampa@newarkinone.com||||Y|Y|||
115|Allied Electronics<br>#91 JACKSONVILLE|8130 W Baymeadows Circle, Ste 111|Jacksonville,|FL|USA|32256|1812|(904) 739-5920||(904) 739-5922|||||Y|Y|Y|Y|
116|Allied Electronics<br>#90 MIAMI|10400 Griffin Road, Ste 208|Cooper City,|FL|USA|33328||(954) 434-9001||(954) 434-7801|||||Y|Y|Y|Y|
117|Allied Electronics<br>#81 ORLANDO|2180 W. State Road 434, Ste 1170|Longwood,|FL|USA|32779||(407) 774-8411||(407) 774-8407|||||Y|Y|Y|Y|
118|Allied Electronics<br>#80 TAMPA|9600 Koger Blvd, Ste 103|St. Petersburg,|FL|USA|33702||(727) 579-4660||(727) 579-1422|||||Y|Y|Y|Y|
119|Electronic Precepts of Florida|11651 87th Street North|Largo,|FL|USA|33773||727-391-7131||727-393-1177|sales@electronicprecepts.com||||Y|Y|Y||
120|Powell Electronics<br>Florida Region & Caribbean,|1890 University Drive, Suite 115|Coral Springs,|FL|USA|33071||945-346-2466||954-346-2722|dmcgain@powell.com|www.powell.com|Trevor Roy McGain|Branch Manager|Y|Y|Y|Y|N
121|Newark InOne|22 Technology Park, Suite 250|Norcross,|GA|USA|33092|3053|(800) 2-NEWARK (800-263-9275)|(770) 448-1300|(770) 448-7843|atlanta@newarkinone.com||||Y|Y|||
122|Allied Electronics<br>#73 ATLANTA|20 Technology Parkway South, Ste 350|Norcross,|GA|USA|30092||(770) 242-0699||(770) 242-0899|||||Y|Y|Y|Y|
123|Newark InOne|1600 W. Broadway Rd. Suite 290|Tempe|AZ|USA|85282||(800) 2-NEWARK (800-263-9275)|(480) 966-6340|(480) 966-8146|phoenix@newarkinone.com||||Y|Y|||
124|Allied Electronics<br>#98 PHOENIX|2111 E. Baseline, Ste F3|Tempe|AZ|USA|85283||(480) 831-2002||(480) 831-2411|||||Y|Y|Y|Y|
125|Allied Electronics|4008 E. Glenrosa Ave|Phoenix|AZ|USA|85018||(480) 831-2002||(480) 831-1411|scott.parrish@alliedelec.com||||Y|Y|Y|Y|
126|Newark InOne|12631-FE. Imperial Hwy. Bldg. F136|Santa Fe Springs|CA|USA|90670||(800) 2-NEWARK (800-263-9275)|(562) 929-9722|(562) 864-7110|losangeles@newarkinone.com||||Y|Y|||
127|Newark InOne|9444 Waples St. Suite 480|San Diego|CA|USA|92121||T: (800) 2-NEWARK (800-263-9275)|T: (858) 453-8211|F: (858) 535-9883|sandiego@newarkinone.com||||Y|Y|||
128|Newark InOne|3600 West Bayshore Rd. Suite 104|Palo Alto|CA|USA|94303||(800) 2-NEWARK (800-263-9275)|(650) 812-6300|(650) 812-6333|sanfran@newarkinone.com||||Y|Y|||
129|Newark InOne|2020 Hurley Way Suite 310|Sacramento|CA|USA|95825||(800) 2-NEWARK (800-263-9275)|(916) 565-1760|(916) 565-1279|sacramento@newarkinone.com||||Y|Y|||
130|Newark InOne|550 St. Charles Dr. Suite 200|Thousand Oaks|CA|USA|91360||(800) 2-NEWARK (800-263-9275)|(805) 449-1480|(805) 449-1460|thousandoaks@newarkinone.com||||Y|Y|||
132|Allied Electronics<br>#03 ORANGE COUNTY|7777 Center Ave., Suite 540|Huntington Beach|CA|USA|92647|3063|(714) 379-2535||(714) 379-2536|irv$manager@alliedelec.com|www.alliedelec.com|||Y|Y|Y|Y|N
134|Allied Electronics<br>#95 SACRAMENTO|590 Menlo Drive, Ste 8|Rocklin|CA|USA|95765|3705|(916) 435-9370||(916) 435-9380|sac$manager@alliedelec.com|www.alliedelec.com|||Y|Y|Y|Y|N
135|Allied Electronics<br>#94 SAN DIEGO|15373 Innovation Drive, 3rd Floor, Suite 380|San Diego|CA|USA|92128|3426|(858) 385-0565||(858) 385-0566|san$manager@alliedelec.com|www.alliedelec.com|||Y|Y|Y|Y|N
136|Allied Electronics<br>#78 Simi Valley|40 West Cochran, Suite 108|Simi Valley|CA|USA|93065|6244|(805) 306-0336||(805) 306-0048|cha$manager@alliedelec.com|www.alliedelec.com|||Y|Y|Y|Y|N
142|Fuses Unlimited|9248 Eaton Avenue|Chatsworth|CA|USA|91311||818-786-8111||818-786-8222|||||||Y||
143|Fuses Unlimited|44790 S. Grimmer Blvd, Suite #101|Fremont|CA|USA|94538||(510) 651-8911|(800) 255-1919|(510) 651-9011|fremont@fusesunlimited.com||||||Y||
144|Electro Alliance|1500 Lana Way|Hollister|CA|USA|95023||831-635-1390||831-635-1395|duane@electroalliance.com, mark@electroalliance.com, chris@electronalliance.com||||Y|Y|||
145|HDB Electronics|2860 Spring Street|Redwood City|CA|USA|94063||650-368-1388||415-368-1347|hdbelect@ix.netcom.com||||||Y||
146|Kensington Electronics|75 Argonaut|Aliso Viejo|CA|USA|92656||714-588-0375||714-588-0176|sales@keiconn.com||||Y|Y|Y||
147|Rose Electronics|2030 Ringwood Ave.|San Jose|CA|USA|95131||408-943-0200||408-943-0360|sales@rose-elec.com||||Y|Y|Y||
148|Walker Component Group / IEC|9940 Business Park Drive Suite 190|Sacramento|CA|USA|95827||916-363-6030|877-274-3442|916-362-6926|sacsales@wcg-iec.com||||Y|Y|Y||
149|Walker Component Group / IEC|25691 Atlantic Ocean Drive Bldg B Suite 18|Lake Forest|CA|USA|92630||949-597-2081|877-274-3442|949-581-5338|irvsales@wcg-iec.com||||Y|Y|Y||
150|Powell Electronics<br>Northern California Region|1900 McCarthy Blvd, Suite 107|Milpitas|CA|USA|95035||408.943.9020||408.943.0337|bwilliams@powell.com|www.powell.com|Bob Williams|Branch Manager (acting)|Y|Y|Y|Y|N
151|Powell Electronics<br>Southern California Region|10330 Pioneer Blvd. Suite 270|Santa Fe Springs|CA|USA|90670||562-906-7755||562-906-7712|bwilliams@powell.com|www.powell.com|Bob Williams|VP Western Region|Y|Y|Y|Y|N
152|Newark InOne|10200 Innovation Dr. Suite 550|Milwaukee,|WI|USA|53226|1403|(800) 2-NEWARK (800-263-9275)|(414) 453-9100|(414) 453-2238|milwaukee@newarkinone.com||||Y|Y|||
153|Allied Electronics<br>#62 MILWAUKEE|2448 South 102nd St., Ste 150|West Allis,|WI|USA|53227||(414) 543-3372||(414) 543-3272|||||Y|Y|Y|Y|
158|Allied Electronics<BR>#5|4924 Sailwind Dr.|Fort Worth|TX|USA|76135||817-999-9900||||www.alliedelec.com|||||||
